sentence,crate,tier,pattern,chapter,text,verdict(A/R/N),reason
149,rustc_mir_build,gold_plus_only,anchor,overview.md,"Command line parsing Guide: The Rustc Driver and Interface Driver definition: `rustc_driver` Main entry point: `rustc_session::config::build_session_options` Lexical Analysis: Lex the user program to a stream of tokens Guide: Lexing and Parsing Lexer definition: `rustc_lexer` Main entry point: `rustc_lexer::Cursor::advance_token` Parsing: Parse the stream of tokens to an Abstract Syntax Tree (AST) Guide: Lexing and Parsing Guide: Macro Expansion Guide: Name Resolution Parser definition: `rustc_parse` Main entry points: `AST` definition: `rustc_ast` Feature gating: Feature Gate Checking Early linting: **TODO** The High Level Intermediate Representation (HIR) Guide: The HIR Guide: Identifiers in the HIR Guide: The `HIR` Map Guide: Lowering `AST` to `HIR` How to view `HIR` representation for your code `cargo rustc -- -Z unpretty=hir-tree` Rustc `HIR` definition: `rustc_hir` Main entry point: **TODO** Late linting: **TODO** Type Inference Guide: Type Inference Guide: The ty Module: Representing Types (semantics) Main entry point (type inference): `InferCtxtBuilder::enter` Main entry point (type checking bodies): the `typeck` query The Mid Level Intermediate Representation (MIR) Guide: The `MIR` (Mid level IR) Definition: `rustc_middle/src/mir` Definition of sources that manipulates the MIR: `rustc_mir_build`, `rustc_mir_dataflow`, `rustc_mir_transform` The Borrow Checker Guide: MIR Borrow Check Definition: `rustc_borrowck` Main entry point: `mir_borrowck` query `MIR` Optimizations Guide: MIR Optimizations Definition: `rustc_mir_transform` Main entry point: `optimized_mir` query Code Generation Guide: Code Generation Generating Machine Code from `LLVM-IR` with LLVM - **TODO: reference?** Main entry point: `rustc_codegen_ssa::base::codegen_crate`",A,Stage index states rustc_mir_build is a definition source for MIR manipulation
1656,rustc_codegen_ssa,refers,llm-only,backend/lowering-mir.md,Everything else will use the builder interface.,R,LLVM backend uses codegen_ssa's builder trait interface; sentence is about rustc_codegen_llvm
971,rustc_attr_parsing,refers,symbol,diagnostics.md,"When mentioning attributes, use this form whenever possible: ""the `inline` attribute"".",N,Diagnostic wording guideline about attributes
98,rustc_llvm,silver,llm-only,overview.md,`LLVM-IR` is designed to be easy for other compilers to emit and also rich enough for LLVM to run a bunch of optimizations on it.,N,About LLVM-IR design; rustc_llvm is only FFI bindings
1448,rustc_middle,refers,symbol,solve/trait-solving.md,"The trait solver can either return success, ambiguity or an error as a `CanonicalResponse`.",R,About trait solver result kinds (rustc_next_trait_solver); CanonicalResponse type only named
1609,rustc_middle,gold_plus_only,symbol,const-eval.md,"`const_eval_global_id` evaluate a constant to an ""opaque blob"" containing its final value; this is only useful for codegen backends and the CTFE evaluator engine itself.",A,const_eval_global_id is a TyCtxt method defined in rustc_middle
1361,rustc_trait_selection,gold,llm-only,traits/resolution.md,"Note that in some cases, like generic functions, we may not be able to find a specific impl, but we can figure out that the caller must provide an impl.",A,Trait resolution using caller-provided bounds is rustc_trait_selection behaviour
306,rustc_middle,gold_plus_only,anchor,memory.md,"`TraitRef`, typically passed by value – a **trait reference** consists of a reference to a trait along with its various type parameters (including `Self`), like `i32: Display` (here, the def-id would reference the `Display` trait, and the args would contain `i32`).",A,TraitRef representation/passing convention in rustc_middle::ty
636,rustc_incremental,none,bm25-top1,name-resolution.md,"Is it a pass and then the result is only used, or can it be computed incrementally?",N,Open questions list in name-resolution chapter
1629,rustc_monomorphize,gold,llm-only,backend/monomorph.md,These are the functions that will have machine code generated for them.,A,Describes monomorphization collector output in rustc_monomorphize
1243,rustc_ast,refers,symbol,ty.md,"When the user writes `&str`, `Str` is how we represent the `str` part of that type.",N,TyKind::Str explanation; nothing from rustc_ast involved
189,rustc_interface,gold,anchor,compiler-src.md,At the top of the dependency tree is `rustc_driver` and `rustc_interface` which is an unstable wrapper around the query system helping drive various stages of compilation.,A,Describes rustc_interface as wrapper around query system driving compilation
149,rustc_driver,gold,anchor,overview.md,"Command line parsing Guide: The Rustc Driver and Interface Driver definition: `rustc_driver` Main entry point: `rustc_session::config::build_session_options` Lexical Analysis: Lex the user program to a stream of tokens Guide: Lexing and Parsing Lexer definition: `rustc_lexer` Main entry point: `rustc_lexer::Cursor::advance_token` Parsing: Parse the stream of tokens to an Abstract Syntax Tree (AST) Guide: Lexing and Parsing Guide: Macro Expansion Guide: Name Resolution Parser definition: `rustc_parse` Main entry points: `AST` definition: `rustc_ast` Feature gating: Feature Gate Checking Early linting: **TODO** The High Level Intermediate Representation (HIR) Guide: The HIR Guide: Identifiers in the HIR Guide: The `HIR` Map Guide: Lowering `AST` to `HIR` How to view `HIR` representation for your code `cargo rustc -- -Z unpretty=hir-tree` Rustc `HIR` definition: `rustc_hir` Main entry point: **TODO** Late linting: **TODO** Type Inference Guide: Type Inference Guide: The ty Module: Representing Types (semantics) Main entry point (type inference): `InferCtxtBuilder::enter` Main entry point (type checking bodies): the `typeck` query The Mid Level Intermediate Representation (MIR) Guide: The `MIR` (Mid level IR) Definition: `rustc_middle/src/mir` Definition of sources that manipulates the MIR: `rustc_mir_build`, `rustc_mir_dataflow`, `rustc_mir_transform` The Borrow Checker Guide: MIR Borrow Check Definition: `rustc_borrowck` Main entry point: `mir_borrowck` query `MIR` Optimizations Guide: MIR Optimizations Definition: `rustc_mir_transform` Main entry point: `optimized_mir` query Code Generation Guide: Code Generation Generating Machine Code from `LLVM-IR` with LLVM - **TODO: reference?** Main entry point: `rustc_codegen_ssa::base::codegen_crate`",A,Stage index states the driver definition is rustc_driver
941,rustc_lint,gold,llm-only,diagnostics.md,"Some messages are emitted via lints, where the user can control the level.",A,User-controllable lint levels are the rustc_lint level system
729,rustc_ast_lowering,gold,llm-only,hir/lowering.md,"This is done by calling the `next_id` method, which produces both a new `NodeId` as well as automatically lowering it for you so you also get the `HirId`.",A,next_id method of LoweringContext in rustc_ast_lowering
340,rustc_metadata,gold_plus_only,anchor,serialization.md,"They generate implementations that decode with the metadata blob decoders in `rustc_metadata::rmeta`; use `BlobDecodable` when the type has no lazy metadata handles, and `LazyDecodable` when it does.",R,About rustc_macros derives; rustc_metadata::rmeta decoders only referenced
713,rustc_ast,refers,llm-only,hir/lowering.md,Examples of such structures include but are not limited to Parenthesis `for` loops Universal `impl Trait` Existential `impl Trait` The implementation of AST lowering is in the `rustc_ast_lowering` crate.,R,About AST lowering (rustc_ast_lowering); AST only referenced
1211,rustc_middle,silver,llm-only,ty.md,"This is because often in Rust there are multiple ways to represent the same type, particularly once inference is involved.",A,Rationale about ty::Ty representations (Infer vs UInt) in rustc_middle
1568,rustc_mir_transform,gold,llm-only,mir/optimizations.md,"Then, it steals the MIR, optimizes it, and returns the improved MIR.",A,optimized_mir stealing and optimizing MIR is rustc_mir_transform behaviour
504,rustc_span,gold_plus_only,multi-source,macro-expansion.md,"Example 2: Note that these chains are not entirely determined by their last element, in other words `ExpnId` is not isomorphic to `SyntaxContext`.",A,ExpnId vs SyntaxContext relation is rustc_span hygiene design
757,rustc_mir_transform,none,bm25-top1,mir/index.md,MIR was introduced in RFC 1211.,N,Historical background (RFC 1211)
996,rustc_errors,gold,symbol,diagnostics.md,"`note` should be used for everything else, such as other context, information and facts, online resources to read, etc.",R,Style guideline on note vs help; rustc_errors sub-diagnostic API only named
1010,rustc_driver_impl,silver,llm-only,diagnostics.md,"Invoking `rustc` with the nightly-only flag `-Z treat-err-as-bug=1` will treat the first error being emitted as an Internal Compiler Error, which allows you to get a stack trace at the point the error has been emitted.",N,"-Z treat-err-as-bug handled in rustc_errors/rustc_session, not rustc_driver_impl"
515,rustc_expand,silver,llm-only,macro-expansion.md,It depends on the type of macro.,N,Transitional filler sentence
1034,rustc_attr_parsing,none,bm25-top1,diagnostics.md,Be conservative when choosing the level.,N,Suggestion applicability guideline; unrelated to attribute parsing
5,rustc_attr_parsing,none,bm25-top1,overview.md,"For now, we will avoid mentioning how the compiler implements these steps except as needed.",N,About the guide's exposition
1197,rustc_middle,gold,anchor,ty.md,`rustc_middle::ty::Ty` is actually a wrapper around `Interned<WithCachedTypeInfo<TyKind>>`.,A,Describes rustc_middle::ty::Ty internal representation
1735,rustc_incremental,gold,llm-only,backend/libs-and-metadata.md,"Hashes of certain command-line flags (like `-C metadata` via the Stable Crate Id, and all CLI options marked with `TRACKED`).",N,"SVH component; crate_hash computed in rustc_middle::hir::map, not rustc_incremental"
226,rustc_query_impl,gold,llm-only,query.md,"Although this vision is not fully realized, large sections of the compiler (for example, generating MIR) currently work exactly like this. in-depth description of what queries are and how they work.",N,About the compiler's demand-driven vision as a whole
1110,rustc_lint_defs,gold,symbol,diagnostics.md,"For instance, any lint declared with `FutureIncompatibleInfo` where the reason is `FutureIncompatibilityReason::FutureReleaseError` (the default when `@future_incompatible` is used in `declare_lint!`), will be added to the `future_incompatible` lint group.",A,declare_lint!/@future_incompatible default reason semantics defined in rustc_lint_defs
674,rustc_ast,refers,symbol,hir.md,"You can view the HIR representation of your code by passing the `-Z unpretty=hir-tree` flag to rustc: that is closer to the original source code expression: The top-level data-structure in the HIR is the `Crate`, which stores the contents of the crate currently being compiled (we only ever construct HIR for the current crate).",N,About HIR Crate structure and hir-tree flag; rustc_ast not involved
1011,rustc_driver_impl,silver,llm-only,diagnostics.md,Change the `1` to something else if you wish to trigger on a later error.,N,Debugging flag usage tip
1086,rustc_lint_defs,gold,symbol,diagnostics.md,"To do this, we just add the transition to our invocation of `declare_lint!`: This makes the `ANONYMOUS_PARAMETERS` lint allow-by-default in the 2015 edition but warn-by-default in the 2018 edition.",A,declare_lint! edition transition syntax is rustc_lint_defs
374,rustc_arena,gold_plus_only,symbol,parallel-rustc.md,"`WorkerLocal` is used to implement the `Arena` allocator in the parallel environment, which is critical in parallel queries.",R,WorkerLocal-wrapped arena lives in rustc_middle::ty::context; Arena type only named
1439,rustc_type_ir,gold_plus_only,symbol,solve/trait-solving.md,See the `PredicateKind` enum for an exhaustive list.,R,Bare cross-reference to PredicateKind enum; no claim about it
1216,rustc_infer,silver,llm-only,ty.md,"This is typically what you want to check during diagnostics, which is concerned with questions such as whether two types can be assigned to each other, not whether they're represented identically in the compiler's type-checking layer.",A,Explains semantics/use of rustc_infer's can_eq for diagnostics
582,rustc_resolve,none,bm25-top1,name-resolution.md,Name resolution is complex.,A,Opens description of the name-resolution process rustc_resolve implements
1648,rustc_codegen_ssa,gold,multi-source,backend/lowering-mir.md,`rustc_codegen_ssa::mir::place` translates MIR place references.,A,rustc_codegen_ssa::mir::place translates MIR places
134,rustc_log,none,bm25-top1,overview.md,One aspect of that is parallelizing `rustc` itself.,N,About parallelizing the compiler in general
801,rustc_middle,silver,llm-only,mir/index.md,An unevaluated constant simply stores the `DefId` of what needs to be evaluated to compute this result.,A,UnevaluatedConst representation defined in rustc_middle (ty/mir consts)
1657,rustc_codegen_ssa,gold_plus_only,anchor,backend/lowering-mir.md,This is the code that gets called in the `rustc_codegen_ssa::mir::*` modules discussed above. > TODO: discuss how constants are generated,A,States rustc_codegen_ssa::mir modules call the backend builder interface
1119,rustc_lint,gold_plus_only,anchor,diagnostics.md,"In particular, it cannot depend on `rustc_middle::lint` or `rustc_lint`, where all of the compiler linting infrastructure is defined.",A,Clause states linting infrastructure is defined in rustc_lint
54,rustc_middle,none,bm25-top1,overview.md,There are a lot of constraints and conflicting goals that the compiler needs to satisfy/optimize for.,N,General compiler design constraints
1464,rustc_middle,refers,symbol,coherence.md,The overlap check has various modes (see `OverlapMode`).,R,Overlap check is rustc_trait_selection coherence; OverlapMode type only named
254,rustc_metadata,gold,anchor,query.md,"This is handled by the `rustc_metadata` crate, which is responsible for decoding and providing the information stored in the `.rmeta` files.",A,States rustc_metadata decodes and provides rmeta information
1331,rustc_infer,gold,llm-only,type-inference.md,"One final interesting case is relating two unbound type variables, like `?T <: ?U`.",A,Relating unbound type variables is rustc_infer behaviour
436,rustc_expand,gold,llm-only,macro-expansion.md,We attempt to recover from failures (i.e. unresolved macros or imports) with the intent of generating diagnostics.,A,Expansion failure recovery in rustc_expand
989,rustc_errors,gold,symbol,diagnostics.md,`help`: emitted following an `error` or `warning` to give additional information to the user about how to solve their problem.,A,Defines the help sub-diagnostic level of rustc_errors
88,rustc_middle,refers,llm-only,overview.md,"As a result, it is easier to lower to `MIR` from `THIR` than from HIR.",A,Design rationale for THIR (rustc_middle::thir) being easier to lower
1438,rustc_type_ir,silver,llm-only,solve/trait-solving.md,"There are other predicates, most notably equality bounds on associated items: `<Vec<T> as IntoIterator>::Item == T`.",A,Predicate kinds (projection equality) defined in rustc_type_ir PredicateKind
1380,rustc_trait_selection,gold,llm-only,traits/resolution.md,This happens most commonly when the obligation contains unbound type variables.,A,Selection returning Ok(None) with unbound variables is rustc_trait_selection behaviour
1146,rustc_trait_selection,gold,llm-only,diagnostics.md,"`""[]""`, `""{ty}""`, `""{ty}; _""`, `""{ty}; $N""` when applicable. references to said slices and arrays.",A,on_unimplemented format values implemented in rustc_trait_selection
1101,rustc_lint_defs,gold,symbol,diagnostics.md,"If you need a combination of options that's not supported by the `declare_lint!` macro, you can always change the `declare_lint!` macro to support this.",A,About extending the declare_lint! macro of rustc_lint_defs
1191,rustc_symbol_mangling,none,bm25-top1,ty.md,Suppose that someone invokes `foo::<u32>(0)`.,N,Type example unrelated to symbol mangling
646,rustc_expand,gold,llm-only,attributes.md,"They are 'inert', meaning they are left as-is by the macro expansion code.",A,Inert attributes left untouched by rustc_expand expansion code
160,rustc_driver_impl,gold,symbol,compiler-src.md,"There is also the `rustc` crate which is the actual binary (i.e. the `main` function); it doesn't actually do anything besides calling the `rustc_driver` crate, which drives the various parts of compilation in other crates.",A,Describes rustc_driver driving compilation; implementation is rustc_driver_impl
534,rustc_expand,gold,llm-only,macro-expansion.md,Having macro expansion operate on token streams rather than the raw bytes of a source-file abstracts away a lot of complexity.,A,Design rationale for rustc_expand operating on token streams
278,rustc_macros,refers,symbol,query.md,"So, to add a query: Add an entry to `rustc_queries!` using the format above.",R,Instruction to add a query entry; rustc_queries! macro from rustc_macros only named
551,rustc_expand,gold_plus_only,anchor,macro-expansion.md,The full interface is defined here.,R,Bare pointer to macro parser interface; no claim
213,rustc_middle,silver,llm-only,query.md,"The compiler's ""query system"" is the key to rustc's demand-driven organization.",A,Describes role of the query system defined in rustc_middle
1295,rustc_infer,gold,llm-only,type-inference.md,"All the type variables work in much the same way: you can create a new type variable, and what you get is `Ty<'tcx>` representing an unresolved type `?T`.",A,Creating type variables yielding Ty ?T is rustc_infer behaviour
599,rustc_resolve,gold,anchor,name-resolution.md,"The name resolution lives in the `rustc_resolve` crate, with the bulk in `lib.rs` and some helpers or symbol-type specific logic in the other modules.",A,States name resolution lives in rustc_resolve lib.rs
642,rustc_feature,silver,llm-only,attributes.md,Examples include `#allow` and `#macro_use`.,R,Lists example builtin attributes from rustc_feature's list; about attribute classes
484,rustc_span,gold,multi-source,macro-expansion.md,The actual hierarchies are stored in `HygieneData`.,A,HygieneData in rustc_span::hygiene stores the hierarchies
374,rustc_data_structures,gold,symbol,parallel-rustc.md,"`WorkerLocal` is used to implement the `Arena` allocator in the parallel environment, which is critical in parallel queries.",A,Purpose of rustc_data_structures' WorkerLocal (parallel arenas)
1576,rustc_mir_transform,gold,anchor,mir/optimizations.md,Implement a new optimization in `compiler/rustc_mir_transform/src`.,A,States MIR optimizations are implemented in rustc_mir_transform/src
58,rustc_public,none,bm25-top1,overview.md,"Compiler memory usage: while compiling a program, we don't want to use more memory than we need.",N,General compiler goal
16,rustc_parse,gold_plus_only,anchor,overview.md,The `Lexer` `struct` is used at this stage to perform a set of validations and turn strings into interned symbols (_interning_ is discussed later).,A,Lexer struct in rustc_parse::lexer validates and interns symbols
459,rustc_symbol_mangling,none,bm25-top1,macro-expansion.md,The `struct Bar` defined by the macro clashes names with the `struct Bar` defined in the code.,N,C preprocessor hygiene example
1019,rustc_errors,gold,symbol,diagnostics.md,Diagnostics can be implemented as types which implement the `Diagnostic` trait.,A,Diagnostic trait for struct diagnostics defined in rustc_errors
68,rustc_codegen_cranelift,none,bm25-top1,overview.md,"`cargo`, `clippy`, `Miri`) that must be supported.",N,General compiler goal (tool integration)
547,rustc_expand,gold,llm-only,macro-expansion.md,"In the analogy of a regex parser, the token stream is the input and we are matching it against the pattern defined by matcher.",A,Describes rustc_expand mbe macro_parser matching model
1690,rustc_metadata,none,bm25-top1,backend/libs-and-metadata.md,"This chapter gives an overview of that process, and the supported file formats for crate libraries.",N,About the guide chapter itself
1712,rustc_metadata,gold,llm-only,backend/libs-and-metadata.md,The metadata contains a wide swath of different elements.,A,Describes contents of metadata that rustc_metadata encodes
1694,rustc_metadata,silver,llm-only,backend/libs-and-metadata.md,"An `rlib` is an archive file, which is similar to a tar file.",A,rlib archive format read by rustc_metadata::locator (documented there)
1098,rustc_lint,silver,llm-only,diagnostics.md,This will change the diagnostic message the user receives as well as determine which lint groups the lint is added to.,A,future_incompatible reason affects message and grouping in rustc_lint LintStore
1343,rustc_trait_selection,gold,llm-only,type-inference.md,An exception here is the leak-check which is used during trait solving and relies on region constraints containing higher-ranked regions.,R,Leak check implemented in rustc_infer; trait solving only mentioned as its user
415,rustc_parse,gold,anchor,the-parser.md,`Lexer` integrates `rustc_lexer` with data structures specific to `rustc`.,A,rustc_parse::lexer::Lexer integrates rustc_lexer with rustc data structures
689,rustc_span,gold,symbol,hir.md,"This allows us to drop the `CrateNum` part, and use the type system to ensure that only local definitions are passed to functions that expect a local definition.",A,LocalDefId design (dropping CrateNum) in rustc_span::def_id
1223,rustc_hir_typeck,gold,llm-only,ty.md,This is primarily a concern during HIR type checking and with all types from a `TyCtxt` query (for example from `tcx.type_of()`).,A,Normalization concern during HIR type checking performed by rustc_hir_typeck
1658,rustc_codegen_cranelift,none,bm25-top1,backend/codegen.md,"Code generation (or ""codegen"") is the part of the compiler that actually generates an executable binary.",N,General definition of codegen
906,rustc_interface,gold_plus_only,anchor,rustc-driver/intro.md,"Where possible, using `rustc_driver` rather than `rustc_interface` is recommended.",R,API-choice recommendation; rustc_interface only named as the less preferred option
1324,rustc_infer,silver,llm-only,type-inference.md,One thing worth discussing is subtyping obligations.,N,Transitional sentence introducing subtyping obligations
1434,rustc_hir_typeck,silver,llm-only,solve/trait-solving.md,For example: Here the call to `x.clone()` requires us to prove that `Vec<T>` implements `Clone` given the assumption that `T: Clone` is true.,R,Example goal for trait solving; typeck only the originator
80,rustc_lexer,refers,llm-only,overview.md,Abstract Syntax Tree (`AST`): the abstract syntax tree is built from the stream of tokens produced by the lexer.,R,About AST construction by parser; lexer only referenced as token source
161,rustc_driver_impl,gold_plus_only,symbol,compiler-src.md,"The dependency order of these crates is complex, but roughly it is something like this: `rustc` (the binary) calls `rustc_driver::main`.",R,Describes crate dependency order; rustc_driver::main only named
88,rustc_mir_build,gold,llm-only,overview.md,"As a result, it is easier to lower to `MIR` from `THIR` than from HIR.",A,"Rationale for lowering THIR to MIR, the process rustc_mir_build implements"
467,rustc_span,silver,llm-only,macro-expansion.md,Future iterations of the macro system will allow greater control to the macro author to use that context.,N,Speculation about future macro system
11,rustc_driver_impl,gold,llm-only,overview.md,This crate defines the compile configuration that is requested by the user and passes it to the rest of the compilation process as a `rustc_interface::Config`.,A,rustc_driver_impl builds config and hands rustc_interface::Config to compilation
999,rustc_lint_defs,gold,llm-only,diagnostics.md,Some examples: A future-incompatible or edition-based lint that has graduated from the warning level.,N,Guideline examples for choosing deny level; no crate behaviour
149,rustc_infer,gold_plus_only,anchor,overview.md,"Command line parsing Guide: The Rustc Driver and Interface Driver definition: `rustc_driver` Main entry point: `rustc_session::config::build_session_options` Lexical Analysis: Lex the user program to a stream of tokens Guide: Lexing and Parsing Lexer definition: `rustc_lexer` Main entry point: `rustc_lexer::Cursor::advance_token` Parsing: Parse the stream of tokens to an Abstract Syntax Tree (AST) Guide: Lexing and Parsing Guide: Macro Expansion Guide: Name Resolution Parser definition: `rustc_parse` Main entry points: `AST` definition: `rustc_ast` Feature gating: Feature Gate Checking Early linting: **TODO** The High Level Intermediate Representation (HIR) Guide: The HIR Guide: Identifiers in the HIR Guide: The `HIR` Map Guide: Lowering `AST` to `HIR` How to view `HIR` representation for your code `cargo rustc -- -Z unpretty=hir-tree` Rustc `HIR` definition: `rustc_hir` Main entry point: **TODO** Late linting: **TODO** Type Inference Guide: Type Inference Guide: The ty Module: Representing Types (semantics) Main entry point (type inference): `InferCtxtBuilder::enter` Main entry point (type checking bodies): the `typeck` query The Mid Level Intermediate Representation (MIR) Guide: The `MIR` (Mid level IR) Definition: `rustc_middle/src/mir` Definition of sources that manipulates the MIR: `rustc_mir_build`, `rustc_mir_dataflow`, `rustc_mir_transform` The Borrow Checker Guide: MIR Borrow Check Definition: `rustc_borrowck` Main entry point: `mir_borrowck` query `MIR` Optimizations Guide: MIR Optimizations Definition: `rustc_mir_transform` Main entry point: `optimized_mir` query Code Generation Guide: Code Generation Generating Machine Code from `LLVM-IR` with LLVM - **TODO: reference?** Main entry point: `rustc_codegen_ssa::base::codegen_crate`",A,Stage index states InferCtxtBuilder::enter is the type inference entry point
359,rustc_borrowck,gold,llm-only,parallel-rustc.md,"The parts after HIR lowering to codegen such as type checking, borrowing checking, and mir optimization are parallelized in the nightly version.",R,About parallel compilation status; borrow checking only listed
663,rustc_expand,silver,llm-only,attributes.md,"Instead, the macro is annotated with the `#rustc_builtin_macro` attribute, which tells the compiler to run a corresponding function in `rustc_builtin_macros`.",R,About rustc_builtin_macros dispatch; rustc_expand only the expansion context
1644,rustc_codegen_ssa,gold,anchor,backend/lowering-mir.md,The code is split into modules which handle particular MIR primitives: `rustc_codegen_ssa::mir::block` will deal with translating blocks and their terminators.,A,rustc_codegen_ssa::mir::block translates blocks and terminators
1121,rustc_session,gold,llm-only,diagnostics.md,"After macro expansion, these buffered lints are then dumped into the `Session::buffered_lints` used by the rest of the compiler.",A,Buffered lints stored in ParseSess::buffered_lints in rustc_session::parse
805,rustc_middle,gold_plus_only,symbol,mir/index.md,"In general, a MIR constant value (`mir::ConstValue`) was computed by evaluating some constant the user wrote.",A,mir::ConstValue representation defined in rustc_middle
40,rustc_borrowck,refers,llm-only,overview.md,The `HIR` is further lowered to `MIR` (used for borrow checking) by constructing the `THIR` (an even more desugared `HIR` used for pattern and exhaustiveness checking) to convert into `MIR`.,R,About HIR->THIR->MIR lowering (rustc_mir_build); borrowck only named as MIR consumer
272,rustc_middle,gold_plus_only,symbol,query.md,The `desc` attribute is shown to the user in query cycles.,A,desc attribute of query definitions in rustc_middle's query DSL
671,rustc_ast_lowering,gold,llm-only,hir.md,"For example, `for` loops are converted into a `loop` and do not appear in the HIR.",A,for-loop desugaring is performed by rustc_ast_lowering
687,rustc_span,gold_plus_only,symbol,hir.md,"Unlike `HirId`s, there isn't a `DefId` for every expression, which makes them more stable across compilations.",A,DefId stability property; DefId defined in rustc_span::def_id
911,rustc_resolve,refers,symbol,rustc-driver/intro.md,`rustdoc` compiling code and serving output).,N,rustdoc example in driver chapter; unrelated to name resolution
1534,rustc_mir_dataflow,gold_plus_only,anchor,mir/dataflow.md,These `.dot` files will be saved in your `mir_dump` directory and will have the `NAME` of the analysis (e.g.,A,Dataflow graphviz .dot dumps produced by rustc_mir_dataflow::framework::graphviz
166,rustc_middle,gold_plus_only,anchor,compiler-src.md,"`rustc_middle` and most of the other crates depend on a handful of crates representing the early parts of the compiler (e.g. the parser), fundamental data structures (e.g.",A,Describes rustc_middle's dependencies on foundational crates
1489,rustc_hir_analysis,gold_plus_only,anchor,hir-typeck/summary.md,"For more details, see the `collect` module. **TODO**: actually talk about type checking...",R,Bare cross-reference to rustc_hir_analysis collect module
1682,rustc_codegen_ssa,silver,llm-only,backend/codegen.md,It is not necessarily the codegen phase described above that runs the optimizations.,A,LTO-time optimization scheduling handled in rustc_codegen_ssa::back
1350,rustc_infer,silver,llm-only,type-inference.md,This extracts all of the outlives constraints added during the canonical query.,A,take_and_reset_region_constraints behaviour in rustc_infer
389,rustc_data_structures,refers,llm-only,parallel-rustc.md,"The parallel query feature still has implementation to do, most of which is related to the previous `Data Structures` and `Parallel Iterators`.",N,Status of parallel query work; guide section references
1574,rustc_log,none,bm25-top1,mir/optimizations.md,Commit the current working directory state.,N,Workflow instruction to commit
248,rustc_middle,gold,symbol,query.md,It is exceedingly rare to need a `provide` function that doesn't just accept `query::Providers`.,A,Describes provide/query::Providers API pattern defined in rustc_middle
1376,rustc_trait_selection,gold,symbol,traits/resolution.md,"The main interface is the `select()` function, which takes an obligation and returns a `SelectionResult`.",A,select() and SelectionResult interface of rustc_trait_selection
94,rustc_monomorphize,refers,llm-only,overview.md,"Because `MIR` is still generic, we can do a lot of analyses here more efficiently than after monomorphization.",R,About MIR being generic; monomorphization only mentioned as later phase
401,rustc_ast,gold,multi-source,the-parser.md,"However, because they are absolute within a crate, adding or removing a single node in the AST causes all the subsequent `NodeId`s to change.",A,NodeId numbering property; NodeId defined in rustc_ast
1755,rustc_thread_pool,none,bm25-top1,backend/libs-and-metadata.md,One trick to improve compile times is to start building a crate as soon as the metadata for its dependencies is available.,N,About Cargo pipelining; unrelated to thread pool
721,rustc_passes,gold,anchor,hir/lowering.md,Lowering needs to uphold several invariants in order to not trigger the sanity checks in `compiler/rustc_passes/src/hir_id_validator.rs`: A `HirId` must be used if created.,A,Describes invariants checked by rustc_passes hir_id_validator
1299,rustc_infer,gold,llm-only,type-inference.md,"The recommended way to add an equality constraint is to use the `at` method, roughly like so: The first `at()` call provides a bit of context, i.e. why you are doing this unification, and in what environment, and the `eq` method performs the actual equality constraint.",A,at()/eq API of rustc_infer for equality constraints
1098,rustc_lint_defs,silver,llm-only,diagnostics.md,This will change the diagnostic message the user receives as well as determine which lint groups the lint is added to.,R,Effects of reason field implemented in rustc_lint; lint_defs only defines the field
222,rustc_query_impl,gold,llm-only,query.md,For example: The `compile` query might demand to get a list of codegen-units (i.e. modules that need to be compiled by LLVM).,N,Hypothetical future compile query
930,rustc_error_messages,gold,llm-only,diagnostics.md,Primary and secondary spans underlying the users' code.,R,Error rendering by rustc_errors emitter; MultiSpan primary/secondary concept only referenced
433,rustc_expand,gold,llm-only,macro-expansion.md,Here is the algorithm: Initialize a `queue` of unresolved macros.,A,Expansion algorithm queue in rustc_expand::expand
412,rustc_parse,silver,llm-only,the-parser.md,"Expansion itself may require parsing the output of a macro, which may reveal more macros to be expanded, and so on.",R,About macro expansion driving re-parsing; parser only used
1739,rustc_symbol_mangling,gold,llm-only,backend/libs-and-metadata.md,"It is used in a variety of places, such as symbol name mangling, crate loading, and much more.",R,About StableCrateId (rustc_span); symbol mangling only listed as a user
396,rustc_parse,silver,llm-only,the-parser.md,"This is implemented in `rustc_lexer`. _Parsing_ takes streams of tokens and turns them into a structured form which is easier for the compiler to work with, usually called an *Abstract Syntax Tree* (AST) .",A,"Describes parsing tokens into AST, implemented by rustc_parse"
308,rustc_type_ir,gold,symbol,memory.md,`Predicate` defines something the trait system has to prove (see traits module).,A,Predicate defined in rustc_type_ir
