sentence,crate,tier,pattern,chapter,text,verdict(A/R/N)
582,rustc_resolve,none,bm25-top1,name-resolution.md,Name resolution is complex.,
1648,rustc_codegen_ssa,gold,multi-source,backend/lowering-mir.md,`rustc_codegen_ssa::mir::place` translates MIR place references.,
134,rustc_log,none,bm25-top1,overview.md,One aspect of that is parallelizing `rustc` itself.,
801,rustc_middle,silver,llm-only,mir/index.md,An unevaluated constant simply stores the `DefId` of what needs to be evaluated to compute this result.,
1657,rustc_codegen_ssa,gold_plus_only,anchor,backend/lowering-mir.md,This is the code that gets called in the `rustc_codegen_ssa::mir::*` modules discussed above. > TODO: discuss how constants are generated,
1119,rustc_lint,gold_plus_only,anchor,diagnostics.md,"In particular, it cannot depend on `rustc_middle::lint` or `rustc_lint`, where all of the compiler linting infrastructure is defined.",
54,rustc_middle,none,bm25-top1,overview.md,There are a lot of constraints and conflicting goals that the compiler needs to satisfy/optimize for.,
1464,rustc_middle,refers,symbol,coherence.md,The overlap check has various modes (see `OverlapMode`).,
254,rustc_metadata,gold,anchor,query.md,"This is handled by the `rustc_metadata` crate, which is responsible for decoding and providing the information stored in the `.rmeta` files.",
1331,rustc_infer,gold,llm-only,type-inference.md,"One final interesting case is relating two unbound type variables, like `?T <: ?U`.",
436,rustc_expand,gold,llm-only,macro-expansion.md,We attempt to recover from failures (i.e. unresolved macros or imports) with the intent of generating diagnostics.,
989,rustc_errors,gold,symbol,diagnostics.md,`help`: emitted following an `error` or `warning` to give additional information to the user about how to solve their problem.,
88,rustc_middle,refers,llm-only,overview.md,"As a result, it is easier to lower to `MIR` from `THIR` than from HIR.",
1438,rustc_type_ir,silver,llm-only,solve/trait-solving.md,"There are other predicates, most notably equality bounds on associated items: `<Vec<T> as IntoIterator>::Item == T`.",
1380,rustc_trait_selection,gold,llm-only,traits/resolution.md,This happens most commonly when the obligation contains unbound type variables.,
1146,rustc_trait_selection,gold,llm-only,diagnostics.md,"`""[]""`, `""{ty}""`, `""{ty}; _""`, `""{ty}; $N""` when applicable. references to said slices and arrays.",
1101,rustc_lint_defs,gold,symbol,diagnostics.md,"If you need a combination of options that's not supported by the `declare_lint!` macro, you can always change the `declare_lint!` macro to support this.",
1191,rustc_symbol_mangling,none,bm25-top1,ty.md,Suppose that someone invokes `foo::<u32>(0)`.,
646,rustc_expand,gold,llm-only,attributes.md,"They are 'inert', meaning they are left as-is by the macro expansion code.",
160,rustc_driver_impl,gold,symbol,compiler-src.md,"There is also the `rustc` crate which is the actual binary (i.e. the `main` function); it doesn't actually do anything besides calling the `rustc_driver` crate, which drives the various parts of compilation in other crates.",
534,rustc_expand,gold,llm-only,macro-expansion.md,Having macro expansion operate on token streams rather than the raw bytes of a source-file abstracts away a lot of complexity.,
278,rustc_macros,refers,symbol,query.md,"So, to add a query: Add an entry to `rustc_queries!` using the format above.",
551,rustc_expand,gold_plus_only,anchor,macro-expansion.md,The full interface is defined here.,
213,rustc_middle,silver,llm-only,query.md,"The compiler's ""query system"" is the key to rustc's demand-driven organization.",
1295,rustc_infer,gold,llm-only,type-inference.md,"All the type variables work in much the same way: you can create a new type variable, and what you get is `Ty<'tcx>` representing an unresolved type `?T`.",
599,rustc_resolve,gold,anchor,name-resolution.md,"The name resolution lives in the `rustc_resolve` crate, with the bulk in `lib.rs` and some helpers or symbol-type specific logic in the other modules.",
642,rustc_feature,silver,llm-only,attributes.md,Examples include `#allow` and `#macro_use`.,
484,rustc_span,gold,multi-source,macro-expansion.md,The actual hierarchies are stored in `HygieneData`.,
374,rustc_data_structures,gold,symbol,parallel-rustc.md,"`WorkerLocal` is used to implement the `Arena` allocator in the parallel environment, which is critical in parallel queries.",
1576,rustc_mir_transform,gold,anchor,mir/optimizations.md,Implement a new optimization in `compiler/rustc_mir_transform/src`.,
58,rustc_public,none,bm25-top1,overview.md,"Compiler memory usage: while compiling a program, we don't want to use more memory than we need.",
16,rustc_parse,gold_plus_only,anchor,overview.md,The `Lexer` `struct` is used at this stage to perform a set of validations and turn strings into interned symbols (_interning_ is discussed later).,
459,rustc_symbol_mangling,none,bm25-top1,macro-expansion.md,The `struct Bar` defined by the macro clashes names with the `struct Bar` defined in the code.,
1019,rustc_errors,gold,symbol,diagnostics.md,Diagnostics can be implemented as types which implement the `Diagnostic` trait.,
68,rustc_codegen_cranelift,none,bm25-top1,overview.md,"`cargo`, `clippy`, `Miri`) that must be supported.",
547,rustc_expand,gold,llm-only,macro-expansion.md,"In the analogy of a regex parser, the token stream is the input and we are matching it against the pattern defined by matcher.",
1690,rustc_metadata,none,bm25-top1,backend/libs-and-metadata.md,"This chapter gives an overview of that process, and the supported file formats for crate libraries.",
1712,rustc_metadata,gold,llm-only,backend/libs-and-metadata.md,The metadata contains a wide swath of different elements.,
1694,rustc_metadata,silver,llm-only,backend/libs-and-metadata.md,"An `rlib` is an archive file, which is similar to a tar file.",
1098,rustc_lint,silver,llm-only,diagnostics.md,This will change the diagnostic message the user receives as well as determine which lint groups the lint is added to.,
1343,rustc_trait_selection,gold,llm-only,type-inference.md,An exception here is the leak-check which is used during trait solving and relies on region constraints containing higher-ranked regions.,
415,rustc_parse,gold,anchor,the-parser.md,`Lexer` integrates `rustc_lexer` with data structures specific to `rustc`.,
689,rustc_span,gold,symbol,hir.md,"This allows us to drop the `CrateNum` part, and use the type system to ensure that only local definitions are passed to functions that expect a local definition.",
1223,rustc_hir_typeck,gold,llm-only,ty.md,This is primarily a concern during HIR type checking and with all types from a `TyCtxt` query (for example from `tcx.type_of()`).,
1658,rustc_codegen_cranelift,none,bm25-top1,backend/codegen.md,"Code generation (or ""codegen"") is the part of the compiler that actually generates an executable binary.",
906,rustc_interface,gold_plus_only,anchor,rustc-driver/intro.md,"Where possible, using `rustc_driver` rather than `rustc_interface` is recommended.",
1324,rustc_infer,silver,llm-only,type-inference.md,One thing worth discussing is subtyping obligations.,
1434,rustc_hir_typeck,silver,llm-only,solve/trait-solving.md,For example: Here the call to `x.clone()` requires us to prove that `Vec<T>` implements `Clone` given the assumption that `T: Clone` is true.,
80,rustc_lexer,refers,llm-only,overview.md,Abstract Syntax Tree (`AST`): the abstract syntax tree is built from the stream of tokens produced by the lexer.,
161,rustc_driver_impl,gold_plus_only,symbol,compiler-src.md,"The dependency order of these crates is complex, but roughly it is something like this: `rustc` (the binary) calls `rustc_driver::main`.",
88,rustc_mir_build,gold,llm-only,overview.md,"As a result, it is easier to lower to `MIR` from `THIR` than from HIR.",
467,rustc_span,silver,llm-only,macro-expansion.md,Future iterations of the macro system will allow greater control to the macro author to use that context.,
11,rustc_driver_impl,gold,llm-only,overview.md,This crate defines the compile configuration that is requested by the user and passes it to the rest of the compilation process as a `rustc_interface::Config`.,
999,rustc_lint_defs,gold,llm-only,diagnostics.md,Some examples: A future-incompatible or edition-based lint that has graduated from the warning level.,
149,rustc_infer,gold_plus_only,anchor,overview.md,"Command line parsing Guide: The Rustc Driver and Interface Driver definition: `rustc_driver` Main entry point: `rustc_session::config::build_session_options` Lexical Analysis: Lex the user program to a stream of tokens Guide: Lexing and Parsing Lexer definition: `rustc_lexer` Main entry point: `rustc_lexer::Cursor::advance_token` Parsing: Parse the stream of tokens to an Abstract Syntax Tree (AST) Guide: Lexing and Parsing Guide: Macro Expansion Guide: Name Resolution Parser definition: `rustc_parse` Main entry points: `AST` definition: `rustc_ast` Feature gating: Feature Gate Checking Early linting: **TODO** The High Level Intermediate Representation (HIR) Guide: The HIR Guide: Identifiers in the HIR Guide: The `HIR` Map Guide: Lowering `AST` to `HIR` How to view `HIR` representation for your code `cargo rustc -- -Z unpretty=hir-tree` Rustc `HIR` definition: `rustc_hir` Main entry point: **TODO** Late linting: **TODO** Type Inference Guide: Type Inference Guide: The ty Module: Representing Types (semantics) Main entry point (type inference): `InferCtxtBuilder::enter` Main entry point (type checking bodies): the `typeck` query The Mid Level Intermediate Representation (MIR) Guide: The `MIR` (Mid level IR) Definition: `rustc_middle/src/mir` Definition of sources that manipulates the MIR: `rustc_mir_build`, `rustc_mir_dataflow`, `rustc_mir_transform` The Borrow Checker Guide: MIR Borrow Check Definition: `rustc_borrowck` Main entry point: `mir_borrowck` query `MIR` Optimizations Guide: MIR Optimizations Definition: `rustc_mir_transform` Main entry point: `optimized_mir` query Code Generation Guide: Code Generation Generating Machine Code from `LLVM-IR` with LLVM - **TODO: reference?** Main entry point: `rustc_codegen_ssa::base::codegen_crate`",
359,rustc_borrowck,gold,llm-only,parallel-rustc.md,"The parts after HIR lowering to codegen such as type checking, borrowing checking, and mir optimization are parallelized in the nightly version.",
663,rustc_expand,silver,llm-only,attributes.md,"Instead, the macro is annotated with the `#rustc_builtin_macro` attribute, which tells the compiler to run a corresponding function in `rustc_builtin_macros`.",
1644,rustc_codegen_ssa,gold,anchor,backend/lowering-mir.md,The code is split into modules which handle particular MIR primitives: `rustc_codegen_ssa::mir::block` will deal with translating blocks and their terminators.,
1121,rustc_session,gold,llm-only,diagnostics.md,"After macro expansion, these buffered lints are then dumped into the `Session::buffered_lints` used by the rest of the compiler.",
805,rustc_middle,gold_plus_only,symbol,mir/index.md,"In general, a MIR constant value (`mir::ConstValue`) was computed by evaluating some constant the user wrote.",
40,rustc_borrowck,refers,llm-only,overview.md,The `HIR` is further lowered to `MIR` (used for borrow checking) by constructing the `THIR` (an even more desugared `HIR` used for pattern and exhaustiveness checking) to convert into `MIR`.,
272,rustc_middle,gold_plus_only,symbol,query.md,The `desc` attribute is shown to the user in query cycles.,
671,rustc_ast_lowering,gold,llm-only,hir.md,"For example, `for` loops are converted into a `loop` and do not appear in the HIR.",
687,rustc_span,gold_plus_only,symbol,hir.md,"Unlike `HirId`s, there isn't a `DefId` for every expression, which makes them more stable across compilations.",
911,rustc_resolve,refers,symbol,rustc-driver/intro.md,`rustdoc` compiling code and serving output).,
1534,rustc_mir_dataflow,gold_plus_only,anchor,mir/dataflow.md,These `.dot` files will be saved in your `mir_dump` directory and will have the `NAME` of the analysis (e.g.,
166,rustc_middle,gold_plus_only,anchor,compiler-src.md,"`rustc_middle` and most of the other crates depend on a handful of crates representing the early parts of the compiler (e.g. the parser), fundamental data structures (e.g.",
1489,rustc_hir_analysis,gold_plus_only,anchor,hir-typeck/summary.md,"For more details, see the `collect` module. **TODO**: actually talk about type checking...",
1682,rustc_codegen_ssa,silver,llm-only,backend/codegen.md,It is not necessarily the codegen phase described above that runs the optimizations.,
1350,rustc_infer,silver,llm-only,type-inference.md,This extracts all of the outlives constraints added during the canonical query.,
389,rustc_data_structures,refers,llm-only,parallel-rustc.md,"The parallel query feature still has implementation to do, most of which is related to the previous `Data Structures` and `Parallel Iterators`.",
1574,rustc_log,none,bm25-top1,mir/optimizations.md,Commit the current working directory state.,
248,rustc_middle,gold,symbol,query.md,It is exceedingly rare to need a `provide` function that doesn't just accept `query::Providers`.,
1376,rustc_trait_selection,gold,symbol,traits/resolution.md,"The main interface is the `select()` function, which takes an obligation and returns a `SelectionResult`.",
94,rustc_monomorphize,refers,llm-only,overview.md,"Because `MIR` is still generic, we can do a lot of analyses here more efficiently than after monomorphization.",
401,rustc_ast,gold,multi-source,the-parser.md,"However, because they are absolute within a crate, adding or removing a single node in the AST causes all the subsequent `NodeId`s to change.",
1755,rustc_thread_pool,none,bm25-top1,backend/libs-and-metadata.md,One trick to improve compile times is to start building a crate as soon as the metadata for its dependencies is available.,
721,rustc_passes,gold,anchor,hir/lowering.md,Lowering needs to uphold several invariants in order to not trigger the sanity checks in `compiler/rustc_passes/src/hir_id_validator.rs`: A `HirId` must be used if created.,
1299,rustc_infer,gold,llm-only,type-inference.md,"The recommended way to add an equality constraint is to use the `at` method, roughly like so: The first `at()` call provides a bit of context, i.e. why you are doing this unification, and in what environment, and the `eq` method performs the actual equality constraint.",
1098,rustc_lint_defs,silver,llm-only,diagnostics.md,This will change the diagnostic message the user receives as well as determine which lint groups the lint is added to.,
222,rustc_query_impl,gold,llm-only,query.md,For example: The `compile` query might demand to get a list of codegen-units (i.e. modules that need to be compiled by LLVM).,
930,rustc_error_messages,gold,llm-only,diagnostics.md,Primary and secondary spans underlying the users' code.,
433,rustc_expand,gold,llm-only,macro-expansion.md,Here is the algorithm: Initialize a `queue` of unresolved macros.,
412,rustc_parse,silver,llm-only,the-parser.md,"Expansion itself may require parsing the output of a macro, which may reveal more macros to be expanded, and so on.",
1739,rustc_symbol_mangling,gold,llm-only,backend/libs-and-metadata.md,"It is used in a variety of places, such as symbol name mangling, crate loading, and much more.",
396,rustc_parse,silver,llm-only,the-parser.md,"This is implemented in `rustc_lexer`. _Parsing_ takes streams of tokens and turns them into a structured form which is easier for the compiler to work with, usually called an *Abstract Syntax Tree* (AST) .",
308,rustc_type_ir,gold,symbol,memory.md,`Predicate` defines something the trait system has to prove (see traits module).,
